Región ;Nombre región;Per 2017;Tasa 2017;Per 2018;Tasa 2018;Per 2019;Tasa 2019;Per 2020;Tasa 2020;Per 2021;Tasa 2021;Per 2022;Tasa 2022;Per 2023;Tasa 2023;Per 2024;Tasa 2024;Per 2025;Tasa 2025
1;Arica y Parinacota;466.405;36,3;417.179;34,7;378.731;32,5;139.672;28,3;134.373;37,3;259.019;39,3;239.348;37,9;241.655;37;92.956;38,2
2;Tarapacá;969.127;37,1;844.585;36,3;904.565;39,4;627.113;51,6;799.211;69,5;1.162.163;71,8;1.261.511;69,4;821.034;44,5;283.712;44,1
3;Antofagasta;1.732.320;38,7;1.809.965;42;1.687.796;38;791.657;31,9;985.228;41,5;1.329.998;43,6;1.465.443;45,4;1.558.639;48,9;517.455;49,8
4;Atacama;593.675;29,9;551.423;29,6;513.997;28,1;383.236;27,8;535.348;38,2;621.973;40,6;599.404;40,8;555.196;35,2;203.898;38
5;Coquimbo;1.516.371;34;1.435.611;36,5;1.318.265;33,3;731.179;29,9;956.897;35,3;1.234.980;35,6;1.381.139;36,2;1.196.877;33,4;551.687;40,5
6;Valparaíso;3.204.740;30,1;3.000.164;28,2;2.686.888;26,4;1.074.377;22;1.724.239;26,3;2.444.171;29,9;2.409.971;30,1;2.508.171;30,7;1.029.654;35,1
7;Metropolitana de Santiago;7.755.130;65,8;7.686.519;65,8;7.566.603;60,7;2.080.460;32,8;2.984.943;41,9;4.650.519;55,3;5.418.203;59,9;6.495.862;66,1;1.991.411;62,9
8;Libertador Gral. Bernardo O'Higgins;693.167;26,4;764.961;30,8;715.260;30,1;329.816;29;466.688;30,8;619.469;31,1;626.201;31,9;612.082;31,1;258.781;38,5
9;Maule;730.748;23,4;679.699;22,1;638.614;21,3;335.33;24,7;476.727;26,4;644.778;25,7;557.046;22,4;491.968;18,3;264.884;26,4
10;Ñuble;565.321;30,6;561.155;30,2;618.233;31,6;204.997;26,9;361.532;30,9;442.481;34,7;384.782;27;423.900;25,9;167.010;30,2
11;Biobío;948.748;30,9;1.017.080;33,3;943.189;32;424.778;26,1;502.148;33,7;758.052;36,6;793.685;35,4;856.277;35,5;335.147;38,8
12;La Araucanía;1.487.892;36,1;1.375.221;33,1;1.070.453;27,8;501.018;28,5;553.851;28,9;821.933;30;846.891;30,3;928.255;29,8;538.754;40,5
13;Los Ríos;749.479;34,2;737.610;33,3;734.707;33,7;307.154;24,6;383.265;31,7;577.971;33,6;523.565;32,4;491.387;31,2;221.338;38,2
14;Los Lagos;2.326.470;34;2.228.735;33,8;2.118.408;32,6;864.767;29,9;948.409;31,9;1.523.884;37,6;1.737.514;37,6;1.745.532;36,6;720.479;43,6
15;Aysén del General Carlos Ibáñez del Campo;428.740;26,3;416.144;25,2;407.512;24,5;175.026;23,7;189.396;21,9;343.074;23,9;315.372;21,2;351.304;23,8;188.887;33,3
16;Magallanes y de la Antártica Chilena;962.558;39,1;949.118;39,6;871.842;36,8;341.959;35;180.930;26,1;480.229;36,3;644.388;39,4;719.328;38,4;362.349;53,7
;Total Chile;25.130.893;39,7;24.475.167;39,8;23.175.063;37,6;9.312.537;30;12.183.184;36;17.914.696;40,5;19.204.465;41,1;19.997.466;40,8;7.728.404;44,4
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Total Chile;;;;;;;;;;;;;;;;;;;
